No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
155,Advanced,"What is Forward Secrecy""?""",A technique to protect future communications,A property where past session keys remain secure even if the long-term key is compromised,A method for predicting security threats,A technique for encrypting future data,B,Single Choice
156,Advanced,"What is Backward Secrecy""?""",A technique to protect past communications,A property where future session keys remain secure even if the current key is compromised,A retrospective security analysis,A technique for decrypting historical data,B,Single Choice
157,Advanced,"What is the Honest Majority"" assumption in Secure Multi-party Computation (MPC)?""",Assuming most users are honest,A cryptographic protocol security assumption requiring more than half of the participants to follow the protocol,A voting mechanism,A consensus algorithm,B,Single Choice
158,Advanced,"What is Malicious Security"" in MPC?""",Security specifically designed for malicious environments,A property where the protocol remains secure even against active adversaries trying to corrupt the protocol,A system for detecting malicious behavior,A technology to defend against malware,B,Single Choice
159,Advanced,"What is Oblivious Transfer"" (OT)?""",Data transmitted inadvertently,A cryptographic primitive where a sender has multiple messages, and a receiver can obtain one without the sender knowing which one was received,A covert data transmission,A low-bandwidth transmission protocol,B,Single Choice
160,Advanced,"What is Secret Sharing""?""",Sharing secrets on social media,A technique that divides a secret into multiple shares, requiring a certain number to reconstruct it,A method for encrypted communication,A password management technique,B,Single Choice
161,Advanced,Which of these are key components of MEV-Boost?,Block builders,Block proposers,Relayers,PBS architecture,B/D,Multiple Choice
162,Advanced,Which of these are characteristics of intent-centric architecture?,Users express transaction goals rather than execution paths,Specialized solvers compete for execution rights,Potentially reduces MEV extraction,Improves user experience,A/B,Multiple Choice
163,Advanced,Which of these are potential benefits of account abstraction?,Supporting social recovery,Allowing custom signature verification,Batch transaction processing,Payment flexibility for gas fees,A/B/C,Multiple Choice
164,Advanced,Which of these are application scenarios for ZK-EVMs?,Layer 2 scaling solutions,Privacy-preserving transactions,Cross-chain bridge verification,Efficient state verification,A/C/D,Multiple Choice
165,Advanced,Which of these are advantages of recursive zero-knowledge proofs?,Aggregating multiple proofs,Reducing verification costs,Supporting continuous computation verification,Improving scalability,C/D,Multiple Choice
166,Advanced,Which of these are modern zero-knowledge proof systems?,PLONK,Groth16,Halo 2,Nova,A/C/D,Multiple Choice
167,Advanced,Which of these are characteristics of Verkle Trees?,Using vector commitments,Reducing proof size,Improving state access efficiency,Supporting more efficient state verification,A/B,Multiple Choice
168,Advanced,Which of these are characteristics of fully homomorphic encryption?,Supporting arbitrary computations on encrypted data,Maintaining data confidentiality,Decrypted results match plaintext computation results,Typically has high computational overhead,A/D,Multiple Choice
169,Advanced,Which of these are directions in post-quantum cryptography?,Lattice-based cryptography,Hash-based cryptography,Code-based cryptography,Multivariate polynomial cryptography,B/C/D,Multiple Choice
170,Advanced,Which of these are applications of threshold signature schemes?,Distributed key management,Multisignature wallets,Decentralized oracles,Consensus mechanisms,A/B/D,Multiple Choice
171,Advanced,Which of these are security models in secure multi-party computation?,Semi-honest model,Malicious model,Covert adversary model,Universal composability model,A/B/D,Multiple Choice
172,Advanced,Which of these are applications of oblivious transfer?,Privacy-preserving data queries,Building blocks for secure multi-party computation,Privacy-preserving machine learning,Zero-knowledge proof systems,A/C,Multiple Choice 
173,Advanced,"In a cross-function reentrancy attack on a DeFi lending protocol, which combination of vulnerabilities must be present for the attack to succeed?",State updates after external calls and lack of reentrancy guards,Unchecked external call return values and integer overflow protection,Inconsistent state updates across functions and missing access control modifiers,Improper use of delegatecall and absence of function visibility specifiers,"A, C",Yes
174,Advanced,Which security considerations are critical when implementing a transparent proxy pattern with UUPS (Universal Upgradeable Proxy Standard)?,Storage collision prevention between proxy and implementation contracts,Ensuring upgrade authorization is implemented in the implementation contract,Preventing function selector clashes between proxy and implementation,Maintaining consistent constructor behavior across upgrades,"A, B, C",Yes
175,Advanced,"In a multi-signature wallet implementation, select all attack vectors that could compromise the wallet's security model:",Signature malleability allowing transaction replay with modified signatures,Insufficient entropy in nonce generation leading to private key recovery,Race conditions in signature aggregation allowing partial signature reuse,Improper validation of signer uniqueness enabling duplicate signature attacks,"A, B, D",Yes
176,Advanced,Which mechanisms can effectively prevent flash loan attacks that exploit price oracle manipulation?,Time-weighted average price (TWAP) oracles with sufficient observation windows,Multi-source price aggregation with outlier detection algorithms,Commit-reveal schemes for price updates with cryptographic commitments,Real-time arbitrage detection with automatic circuit breakers,"A, B",Yes
177,Advanced,"In a governance token attack scenario, identify all conditions that enable successful proposal manipulation:",Insufficient quorum requirements relative to circulating token supply,Absence of time delays between proposal creation and execution,Lack of delegation weight limits preventing concentration of voting power,Missing snapshot mechanisms allowing vote buying during proposal periods,"A, B, D",Yes
178,Advanced,Which vulnerabilities in timelock contracts can be exploited to bypass intended security delays?,Timestamp manipulation allowing premature execution of queued transactions,Function signature collisions enabling unauthorized operation substitution,Insufficient access control on timelock administration functions,Reentrancy vulnerabilities in the execution phase of queued operations,"B, C",Yes
179,Advanced,Select all formal verification techniques that can effectively detect state variable manipulation vulnerabilities:,Symbolic execution with constraint solving for path exploration,Model checking with temporal logic specifications for state transitions,Abstract interpretation for invariant discovery and maintenance,Fuzz testing with coverage-guided input generation,"A, B, C",Yes
180,Advanced,"In smart contract auditing, which static analysis techniques can identify complex control flow vulnerabilities?",Data flow analysis tracking tainted input propagation through function calls,Control flow graph construction with dominance analysis for unreachable code,Inter-procedural analysis for cross-contract interaction vulnerabilities,Dynamic symbolic execution with concolic testing methodologies,"A, C",Yes
181,Advanced,Which attack vectors can exploit Automated Market Maker (AMM) price calculation mechanisms?,Sandwich attacks leveraging transaction ordering and slippage manipulation,Just-in-time (JIT) liquidity attacks exploiting concentrated liquidity positions,Impermanent loss amplification through coordinated liquidity withdrawal,Constant product formula manipulation via flash loan arbitrage,"A, B, D",Yes
182,Advanced,Select all oracle manipulation techniques that can compromise DeFi protocol price feeds:,Flashloan-funded market manipulation on low-liquidity DEX pairs,MEV bot coordination for systematic price deviation amplification,Cross-chain oracle delay exploitation during network congestion periods,Governance attack on oracle parameter configuration,"A, B, C, D",Yes
183,Advanced,Which risks are inherent to liquidity provision in concentrated liquidity AMMs?,Increased impermanent loss due to price range concentration effects,MEV extraction through just-in-time liquidity provision strategies,Liquidity fragmentation leading to increased slippage for large trades,Fee tier arbitrage enabling preferential routing manipulation,"A, B",Yes
184,Advanced,Identify all MEV extraction techniques that can be employed in DeFi arbitrage scenarios:,Cyclic arbitrage across multiple AMM pools with optimal path calculation,Statistical arbitrage using predictive models for price movement anticipation,Liquidation front-running with gas price optimization strategies,Cross-chain arbitrage exploiting bridge settlement delays,"A, C, D",Yes
185,Advanced,Which vulnerabilities in yield farming protocols can lead to economic exploits?,Reward calculation errors enabling disproportionate token distribution,Staking pool manipulation through flash loan-funded temporary deposits,Governance token inflation attacks via reward multiplier exploitation,Time-based reward accrual manipulation using block timestamp dependencies,"A, B, D",Yes
186,Advanced,Select all attack vectors that can compromise lending protocol collateralization mechanisms:,Oracle price manipulation to trigger false liquidations,Flash loan attacks to temporarily inflate collateral values,Governance attacks to modify liquidation threshold parameters,Cross-collateral correlation exploitation during market volatility,"A, B, C",Yes
187,Advanced,Which mechanisms can cause algorithmic stablecoin depeg events?,Reflexivity in collateral backing leading to death spiral scenarios,Arbitrage mechanism failure during extreme market conditions,Governance parameter manipulation affecting stability mechanisms,Oracle failure causing incorrect peg maintenance calculations,"A, B, D",Yes
188,Advanced,Identify all composability risks in DeFi protocol interactions:,Cascading liquidations across interconnected lending protocols,Atomic transaction failures causing inconsistent state across protocols,Cross-protocol MEV extraction amplifying individual protocol risks,Shared dependency failures affecting multiple protocol functionalities,"A, C, D",Yes
189,Advanced,Which verification mechanisms can ensure cross-chain bridge message authenticity without trusted third parties?,Merkle proof verification with light client consensus validation,Zero-knowledge proofs of correct state transition execution,Multi-signature schemes with threshold cryptography,Optimistic verification with fraud proof challenge periods,"A, B, D",Yes
190,Advanced,Select all security vulnerabilities specific to light client implementations:,Long-range attacks exploiting weak subjectivity assumptions,Eclipse attacks isolating light clients from honest network majority,Checkpoint authority compromise enabling false chain history,Insufficient block header validation allowing invalid state roots,"A, B, D",Yes
191,Advanced,Which attack vectors can compromise multi-signature validator security in cross-chain bridges?,Coordinated validator key compromise through social engineering,Threshold signature scheme vulnerabilities enabling signature forgery,Validator set rotation attacks during consensus transitions,Economic incentive misalignment leading to validator collusion,"A, C, D",Yes
192,Advanced,Identify all zero-knowledge proof system vulnerabilities that could compromise cross-chain verification:,Trusted setup ceremony compromise enabling proof forgery,Circuit constraint system bugs allowing invalid witness acceptance,Prover key extraction through side-channel analysis,Verifier implementation errors in elliptic curve operations,"A, B, D",Yes
193,Advanced,Which mechanisms ensure cross-chain message integrity and prevent replay attacks?,Cryptographic commitment schemes with temporal ordering constraints,Nonce-based replay protection with cross-chain sequence validation,Merkle tree inclusion proofs with block height verification,Digital signature aggregation with unique message identifiers,"B, C",Yes
194,Advanced,Select all consensus divergence scenarios that can be exploited in cross-chain protocols:,Chain reorganization attacks creating temporary fork inconsistencies,Finality reversion exploiting probabilistic consensus assumptions,Network partition attacks isolating validator subsets,Timestamp manipulation causing cross-chain synchronization failures,"A, B, C",Yes
195,Advanced,Which elliptic curve cryptography vulnerabilities can compromise blockchain security?,Invalid curve attacks exploiting weak parameter validation,Lattice-based attacks on ECDSA with biased nonce generation,Twist security failures in Montgomery ladder implementations,Side-channel attacks extracting private keys through timing analysis,"A, B, D",Yes
196,Advanced,Select all hash function vulnerabilities that could impact blockchain integrity:,Collision resistance breakdown enabling transaction malleability,Preimage attacks allowing private key recovery from public keys,Length extension attacks on Merkle tree construction,Second preimage attacks enabling block header forgery,"A, D",Yes
197,Advanced,Which digital signature scheme vulnerabilities can be exploited in blockchain contexts?,Signature malleability allowing transaction ID manipulation,Key recovery attacks exploiting deterministic nonce generation,Batch verification vulnerabilities enabling invalid signature acceptance,Aggregated signature schemes susceptible to rogue key attacks,"A, C, D",Yes
198,Advanced,Identify all zero-knowledge proof system security requirements for blockchain applications:,Perfect completeness ensuring valid proofs always verify correctly,Computational soundness preventing false proof acceptance,Statistical zero-knowledge property preserving witness confidentiality,Proof non-malleability preventing proof transformation attacks,"A, B, D",Yes
199,Advanced,Which multi-party computation protocol vulnerabilities can compromise privacy in blockchain applications?,Malicious majority attacks compromising input privacy guarantees,Covert channel exploitation for unauthorized information leakage,Protocol abortion attacks preventing computation completion,Input validation failures enabling function evaluation manipulation,"A, B",Yes
200,Advanced,Select all randomness generation vulnerabilities that can compromise cryptographic security:,Predictable pseudorandom number generators enabling key prediction,Insufficient entropy collection during system initialization,Verifiable random function manipulation through beacon influence,Distributed randomness protocol bias through adversarial participation,"A, B, D",Yes
201,Advanced,Which Proof-of-Stake consensus vulnerabilities enable long-range attacks?,Weak subjectivity periods allowing alternative chain construction,Validator key compromise enabling historical block signing,Checkpoint authority centralization creating single points of failure,Slashing condition circumvention through strategic validator behavior,"A, B",Yes
202,Advanced,Identify all validator misbehavior scenarios that warrant slashing in PoS systems:,Double voting on conflicting blocks at the same height,Surround voting violating Casper FFG slashing conditions,Offline behavior during critical consensus periods,Proposing blocks with invalid state transitions,"A, B",Yes
203,Advanced,Which finality attack vectors can compromise blockchain consensus guarantees?,Finality reversion through coordinated validator withdrawal,Probabilistic finality exploitation during network partitions,Checkpoint manipulation enabling alternative history acceptance,Economic finality attacks through stake grinding strategies,"A, B",Yes
204,Advanced,Select all Nothing-at-Stake problem manifestations in PoS consensus:,Validators signing multiple competing chains without economic penalty,Costless simulation enabling alternative history construction,Rational validator behavior leading to consensus instability,Weak subjectivity exploitation through historical key compromise,"A, C",Yes
205,Advanced,Which MEV extraction techniques are specific to consensus layer operations?,Block proposal timing manipulation for transaction ordering advantages,Validator coordination for systematic transaction inclusion bias,Attestation timing optimization for fork choice influence,Proposer-builder separation exploitation through bid manipulation,"A, D",Yes
206,Advanced,Which fraud proof mechanisms can be compromised in optimistic rollup systems?,Proof generation complexity enabling timeout-based attacks,State root manipulation through invalid intermediate computations,Challenge period exploitation via network congestion attacks,Verifier contract vulnerabilities allowing invalid proof acceptance,"A, C, D",Yes
207,Advanced,Select all state channel dispute resolution vulnerabilities:,Griefing attacks through frivolous dispute initiation,State transition verification failures enabling invalid updates,Timeout manipulation preventing legitimate dispute resolution,Channel factory vulnerabilities affecting multiple sub-channels,"A, B",Yes
208,Advanced,Which data availability attack vectors can compromise rollup security?,Withholding attack preventing transaction data reconstruction,Erasure coding manipulation enabling partial data recovery failure,Committee corruption compromising data availability attestations,Sampling protocol exploitation through adversarial data distribution,"A, C, D",Yes
209,Advanced,Identify all centralization risks in Layer 2 sequencer architectures:,Single sequencer failure causing transaction processing halt,MEV extraction concentration enabling systematic user exploitation,Censorship resistance compromise through transaction filtering,Liveness dependency on sequencer availability and performance,"A, B, C, D",Yes
210,Advanced,Which exit game vulnerabilities can prevent legitimate withdrawals from Layer 2?,Mass exit scenarios causing network congestion and timeout failures,Priority queue manipulation enabling withdrawal order attacks,Proof verification complexity enabling computational DoS attacks,Economic griefing through high-cost challenge initiation,"A, D",Yes
211,Advanced,Select all traceability vulnerabilities in cryptocurrency mixing protocols:,Transaction graph analysis revealing input-output correlations,Timing correlation attacks linking deposits and withdrawals,Amount correlation enabling transaction linkability analysis,Metadata leakage through network-level traffic analysis,"A, B, C, D",Yes
212,Advanced,Which zero-knowledge identity system vulnerabilities can compromise user privacy?,Credential linkability enabling cross-service user tracking,Proof replay attacks allowing unauthorized identity verification,Attribute inference through selective disclosure patterns,Issuer compromise enabling false credential generation,"A, C",Yes
213,Advanced,Identify all ring signature scheme vulnerabilities in privacy-focused cryptocurrencies:,Key image reuse enabling double-spending detection bypass,Ring member selection bias revealing signer identity information,Signature size correlation enabling transaction linkability,Decoy selection algorithms susceptible to statistical analysis,"B, D",Yes
214,Advanced,Which privacy-preserving computation vulnerabilities can compromise confidential smart contracts?,Secure multi-party computation protocol failures revealing private inputs,Homomorphic encryption scheme vulnerabilities enabling plaintext recovery,Trusted execution environment side-channel attacks extracting secrets,Zero-knowledge virtual machine implementation bugs compromising privacy,"A, C",Yes
215,Advanced,Select all Eclipse attack vectors that can isolate blockchain nodes:,IP address space manipulation through BGP hijacking,Peer connection monopolization via Sybil node deployment,DNS poisoning attacks redirecting node discovery mechanisms,Network partition exploitation during infrastructure failures,"A, B, C",Yes
216,Advanced,Which P2P network vulnerabilities can compromise blockchain consensus propagation?,Message flooding attacks causing network congestion and delays,Selective message forwarding enabling information asymmetry,Peer reputation system manipulation through coordinated behavior,Network topology inference enabling targeted partition attacks,"A, B",Yes
217,Advanced,Identify all BGP hijacking attack vectors that can affect blockchain networks:,Route announcement manipulation redirecting node traffic,AS path prepending attacks affecting routing preferences,Prefix hijacking enabling man-in-the-middle attacks on nodes,Route leak exploitation causing unintended traffic redirection,"A, C",Yes
218,Advanced,Which multi-signature wallet implementation vulnerabilities can be exploited?,Signature aggregation schemes vulnerable to rogue key attacks,Threshold signature reconstruction enabling partial key recovery,Key derivation path manipulation compromising wallet security,Nonce reuse in deterministic signature generation,"A, D",Yes
219,Advanced,Select all hardware wallet side-channel attack vectors:,Power analysis attacks extracting private keys during signing operations,Electromagnetic emanation analysis revealing cryptographic computations,Timing attack exploitation through variable execution paths,Fault injection attacks corrupting secure element operations,"A, B, C, D",Yes
220,Advanced,Which key derivation and entropy vulnerabilities can compromise wallet security?,Insufficient entropy in mnemonic seed generation enabling brute force attacks,Deterministic key derivation predictability through weak randomness sources,BIP32 extended public key leakage enabling private key recovery,Hardware random number generator manipulation through environmental factors,"A, C",Yes
221,Advanced,Identify all governance token attack vectors in DAO systems:,Flash loan governance attacks enabling temporary voting power concentration,Delegation manipulation through recursive delegation schemes,Proposal timing attacks exploiting low participation periods,Token distribution manipulation affecting voting weight calculations,"A, C",Yes
222,Advanced,Which DAO voting manipulation techniques can compromise governance integrity?,Vote buying markets enabling outcome manipulation through economic incentives,Quadratic voting system exploitation through identity multiplication,Conviction voting manipulation through strategic timing and coordination,Snapshot governance attacks through historical state manipulation,"A, B",Yes
223,Advanced,"In the context of formal verification of smart contracts using model checking, which model checker is most commonly used according to recent surveys?",SPIN,NuSMV/nuXmv,BIP-SMC,CPN,B,No
224,Advanced,Which of the following properties is NOT typically verified using model checking for smart contracts?,Safety properties,Liveness properties,Fairness properties,Quantum resistance,D,No
225,Advanced,What is a major challenge when applying model checking to smart contracts?,The state-explosion problem,The need for manual specification writing,The lack of support for temporal logics,The requirement for quantum computing resources,A,No
226,Advanced,Which of the following is a known attack specific to Proof of Stake (PoS) consensus mechanisms?,51% attack,Nothing-at-stake attack,Selfish mining,Eclipse attack,B,No
227,Advanced,Which consensus algorithm is designed to be resilient against Sybil attacks without requiring computational work?,Proof of Work (PoW),Proof of Stake (PoS),Delegated Proof of Stake (DPoS),Practical Byzantine Fault Tolerance (PBFT),B,No
228,Advanced,What is the primary purpose of using zk-SNARKs in blockchain applications?,To enable faster transaction processing,To provide privacy by hiding transaction details,To reduce the size of the blockchain,To facilitate cross-chain interoperability,B,No
229,Advanced,Which of the following is a limitation of zk-SNARKs in their current implementations?,They require a trusted setup,They are not scalable for large computations,They cannot be used for arbitrary computations,They are vulnerable to quantum attacks,A,No
230,Advanced,"In a flash loan attack, what is the key characteristic that enables the attacker to manipulate the market?","The ability to borrow large amounts of assets without collateral, as long as they are repaid within the same transaction",The use of multiple transactions to exploit price differences across exchanges,The exploitation of reentrancy vulnerabilities in smart contracts,The manipulation of oracle prices to trigger liquidations,A,No
231,Advanced,What is a common method to secure oracles in DeFi protocols against manipulation?,Using multiple independent oracles and taking the median value,Implementing time delays in price updates,Requiring oracles to stake assets as collateral,All of the above,D,No
232,Advanced,"In optimistic rollups, what mechanism is used to ensure the correctness of state transitions?",Validity proofs,Fraud proofs,Zero-knowledge proofs,Multi-party computation,B,No
233,Advanced,Select every scenario that represents a primary security risk in a typical cross-chain bridge architecture.,Compromised multi-signature validator keys,Forged cross-chain message proofs,Client-side replay-protection flaws,Divergent consensus rules between the connected chains,"A, B, D",Yes
234,Advanced,Which of the following techniques is used to enhance transaction privacy in blockchain networks?,Ring signatures,Stealth addresses,Zero-knowledge proofs,All of the above,D,No
235,Advanced,What is a potential security risk in decentralized autonomous organizations (DAOs)?,Centralization of voting power,Sybil attacks in voting,Smart contract vulnerabilities in governance contracts,All of the above,D,No
236,Advanced,Which attack involves isolating a node from the rest of the blockchain network to feed it false information?,Sybil attack,Eclipse attack,51% attack,DDoS attack,B,No
237,Advanced,"What is a hardware wallet, and how does it enhance security?","A physical device that stores private keys offline, reducing the risk of online attacks",A software application that encrypts private keys on the user's device,A multi-signature wallet that requires multiple approvals for transactions,A wallet that uses biometric authentication for access,A,No
238,Advanced,"In the context of blockchain forks, what is a replay attack?",When a transaction intended for one chain is valid and executed on another chain,When an attacker repeats a transaction multiple times on the same chain,When a smart contract function is called recursively,When a node is fed old blocks to mislead it,A,No
239,Advanced,"Select all scenarios where a ""commit-reveal"" scheme is commonly used in blockchain applications.",To prevent front-running in decentralized exchanges,To enable private voting in DAOs,To secure cross-chain asset transfers,To implement time-locked transactions,"A, B",Yes
240,Advanced,What is the most significant security threat posed by quantum computing to current blockchain systems?,Breaking elliptic curve digital signatures,Speeding up hash computations for PoW,Decrypting symmetrically encrypted data,Disrupting consensus mechanisms,A,No
241,Advanced,What is MEV (Miner Extractable Value) in the context of blockchain?,The maximum value that can be extracted from block production beyond standard rewards,A measure of the energy efficiency of mining hardware,The total value locked in DeFi protocols,The market capitalization of a cryptocurrency,A,No
242,Advanced,Which of the following is a proposed solution to mitigate the negative effects of MEV?,Flashbots,Time-locked transactions,Zero-knowledge proofs,Sharding,A,No
243,Advanced,"In the context of blockchain, what is a ""front-running"" attack?",An attack where a miner includes their own transaction before others to gain an advantage,An attack that exploits the order of transaction execution in a block,An attack that involves submitting transactions with higher gas prices to be processed first,All of the above,D,No
244,Advanced,"What is the purpose of a ""timelock"" in smart contracts?",To delay the execution of certain functions until a specified time,To prevent transactions from being included in blocks before a certain time,To lock funds in a contract for a specified period,All of the above,D,No
245,Advanced,Which of the following is a security benefit of using a multi-signature wallet?,"It requires multiple private keys to authorize a transaction, reducing the risk of single-point failures",It encrypts transactions for added privacy,It allows for faster transaction processing,It provides quantum resistance,A,No
246,Advanced,Which of the following is a known vulnerability in Solidity smart contracts that can lead to unintended behavior due to external calls?,Reentrancy,Delegatecall injection,Unchecked external calls,All of the above,D,No
247,Advanced,What is a key advantage of using symbolic execution for smart contract analysis?,It guarantees the absence of all vulnerabilities,It explores all possible execution paths to detect vulnerabilities,It requires minimal computational resources,It eliminates the need for manual code review,B,No
248,Advanced,Which of the following is a security concern in sharded blockchain architectures?,Cross-shard transaction atomicity,Shard collusion attacks,Data availability issues,All of the above,D,No
249,Advanced,"In the context of blockchain, what is a ""double-spending"" attack?",Spending the same cryptocurrency twice by exploiting network latency,Duplicating a transaction to gain additional rewards,Reusing a private key to sign multiple transactions,Manipulating smart contract state to withdraw funds twice,A,No
250,Advanced,Which of the following is a benefit of using BLS signatures in blockchain applications?,"They enable signature aggregation, reducing transaction size",They provide quantum resistance,They eliminate the need for trusted setups,They enhance transaction privacy,A,No
251,Advanced,What is a key challenge in implementing homomorphic encryption in blockchain?,High computational overhead,Incompatibility with existing consensus mechanisms,Lack of support for digital signatures,Vulnerability to Sybil attacks,A,No
252,Advanced,Which of the following is a security risk associated with layer 2 state channels?,Channel closure disputes,Data unavailability during disputes,Collusion between channel participants,All of the above,D,No
253,Advanced,"What is the primary purpose of a ""watchtower"" in the Lightning Network?",To monitor channels and prevent fraudulent closures,To relay transactions between nodes,To provide liquidity for channel funding,To enforce consensus rules,A,No
254,Advanced,Which of the following is a known attack vector in permissioned blockchains?,Byzantine fault tolerance violations,51% attacks,Long-range attacks,Nothing-at-stake attacks,A,No
255,Advanced,"What is a ""sandwich attack"" in the context of decentralized exchanges?",An attack where a transaction is placed between two malicious transactions to manipulate prices,An attack that exploits reentrancy in smart contracts,An attack that isolates a node from the network,An attack that duplicates transactions across chains,A,No
256,Advanced,Which of the following tools is commonly used for automated smart contract auditing?,Mythril,Slither,Oyente,All of the above,D,No
257,Advanced,What is a key security benefit of using a Merkle tree in blockchain?,It ensures data integrity and efficient verification,It provides transaction privacy,It prevents double-spending,It enhances consensus security,A,No
258,Advanced,Which of the following is a challenge in implementing zero-knowledge rollups?,High computational cost of generating proofs,Dependence on trusted oracles,Incompatibility with EVM,Vulnerability to replay attacks,A,No
259,Advanced,"What is a ""griefing attack"" in the context of blockchain?",An attack where an actor intentionally causes resource waste without direct profit,An attack that exploits smart contract vulnerabilities,An attack that manipulates oracle data,An attack that isolates nodes from the network,A,No
260,Advanced,Which of the following is a security feature of the Ethereum Virtual Machine (EVM)?,Gas limits to prevent infinite loops,Built-in quantum resistance,Automatic vulnerability detection,Native support for homomorphic encryption,A,No
261,Advanced,What is a key risk in using centralized relayers in cross-chain bridges?,Single point of failure,Vulnerability to Sybil attacks,Incompatibility with zk-SNARKs,High computational overhead,A,No
262,Advanced,Which of the following is a benefit of using threshold signatures in blockchain?,They allow multiple parties to jointly sign transactions,They eliminate the need for private keys,They provide inherent privacy for transactions,They reduce block confirmation times,A,No
263,Advanced,"What is a ""long-range attack"" in Proof of Stake blockchains?",An attack where an attacker creates an alternative chain from a past state,An attack that exploits transaction ordering,An attack that targets cross-chain bridges,An attack that manipulates gas prices,A,No
264,Advanced,Which of the following is a security concern in DeFi lending protocols?,Liquidation manipulation,Flash loan attacks,Oracle price manipulation,All of the above,D,No
265,Advanced,"What is the role of a ""challenge period"" in optimistic rollups?",To allow disputes of invalid state transitions,To delay transaction finality for security,To verify zero-knowledge proofs,To synchronize cross-chain transactions,A,No
266,Advanced,Which of the following is a security advantage of permissioned blockchains over permissionless ones?,Controlled access to participants,Resistance to 51% attacks,Enhanced transaction privacy,All of the above,A,No
267,Advanced,"What is a ""race condition"" in smart contracts?",A vulnerability where the outcome depends on the order of transaction execution,A flaw in consensus algorithm design,A type of cross-chain attack,A failure in cryptographic signatures,A,No
268,Advanced,Which of the following is a countermeasure against reentrancy attacks in smart contracts?,Using the Checks-Effects-Interactions pattern,Implementing gas limits,Using multi-signature wallets,Employing zero-knowledge proofs,A,No
269,Advanced,What is a key security challenge in implementing sidechains?,Ensuring secure cross-chain communication,Preventing double-spending within the sidechain,Maintaining consensus with the main chain,All of the above,D,No
270,Advanced,Which of the following is a benefit of using formal verification for smart contracts?,It provides mathematical guarantees of correctness,It eliminates the need for gas fees,It enhances transaction throughput,It ensures quantum resistance,A,No
271,Advanced,"What is a ""Sybil attack"" in the context of blockchain networks?",An attack where an entity creates multiple identities to influence the network,An attack that exploits smart contract vulnerabilities,An attack that manipulates block timestamps,An attack that targets cross-chain bridges,A,No
272,Advanced,Which of the following is a security consideration for wallet-as-a-service (WaaS) platforms in Web3?,Key management vulnerabilities,Dependence on centralized infrastructure,Exposure to phishing attacks,All of the above,D,No
273,Advanced,"In Berachain's Proof-of-Liquidity (PoL) consensus mechanism, which attack vector poses the most significant risk to network security when validators manipulate BGT token distribution?",Liquidity pool sandwich attacks during BGT reward distribution,Validator collusion to redirect BGT emissions to controlled liquidity pools,Flash loan attacks targeting BGT-weighted governance votes,MEV extraction through BGT staking front-running,B,No
274,Advanced,Select all security vulnerabilities that are unique to Monad's parallel execution model compared to traditional sequential EVM execution.,Race conditions in state access list validation,Optimistic execution rollback cascades affecting dependent transactions,Cross-thread memory corruption in parallel contract calls,Deterministic execution failures due to non-deterministic thread scheduling,"A, B, D",Yes
275,Advanced,Which critical security assumption in Celestia's modular blockchain architecture could lead to data withholding attacks?,Light nodes can verify data availability through random sampling,Validators are economically incentivized to store all block data,Fraud proofs can be generated within the challenge period,Consensus layer security is independent of data availability layer,A,No
276,Advanced,"In the context of zk-Rollup security, identify all scenarios that could compromise the integrity of zero-knowledge proofs.",Trusted setup ceremony compromise in zk-SNARKs,Circuit constraint system vulnerabilities allowing invalid state transitions,Prover key extraction through side-channel attacks,Verifier contract bugs accepting malformed proofs,"A, B, C, D",Yes
277,Advanced,What is the primary security risk in Scroll's zkEVM implementation that differentiates it from other zk-Rollup solutions?,EVM opcode compatibility issues leading to proof generation failures,Circuit complexity causing exponential proof generation time,State root mismatch between zkEVM and Ethereum mainnet,Incomplete EVM precompile support creating attack vectors,A,No
278,Advanced,Which attack vectors specifically target Layer 2 sequencer centralization risks? Select all that apply.,Transaction censorship through selective inclusion,MEV extraction via transaction reordering,Forced inclusion bypass through L1 escape hatches,Sequencer liveness failures causing network halts,"A, B, D",Yes
279,Advanced,"In Fuel Network's UTXO-based VM architecture, what security vulnerability is most likely to occur during parallel transaction execution?",Double-spending through concurrent UTXO consumption,State inconsistency in Write-Destroy access lists,Predicate validation bypass in parallel execution,Script execution non-determinism across threads,B,No
280,Advanced,Identify all security mechanisms that Sui Network's integration with SCION architecture provides against traditional blockchain network attacks.,Path-aware networking preventing BGP hijacking,Multi-path communication reducing single point of failure,Cryptographic path validation ensuring packet authenticity,Bandwidth isolation preventing DDoS amplification,"A, B, C",Yes
281,Advanced,"Which vulnerability in the snarkjs library, discovered in 2024, poses the most critical threat to zero-knowledge proof systems?",Malleability in proof generation allowing proof forgery,Witness extraction through timing side-channel attacks,Circuit compilation errors creating unsound constraints,Verification key manipulation enabling false proof acceptance,A,No
282,Advanced,Select all attack vectors that specifically exploit Account Abstraction (ERC-4337) implementation vulnerabilities.,UserOperation replay attacks across different chains,Paymaster manipulation to drain sponsored gas funds,Bundler MEV extraction through operation reordering,Entry point contract upgrade attacks,"A, B, C",Yes
283,Advanced,"In the context of cross-chain bridge security, what was the primary attack vector used in the Orbit Chain hack of January 2024?",Smart contract reentrancy in the bridge withdrawal function,Multisig private key compromise affecting 7 out of 10 validators,Oracle price manipulation during cross-chain asset valuation,Merkle proof forgery in cross-chain message verification,B,No
