No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
173,Advanced,"In cross-chain bridge security models, which verification mechanisms can detect and prevent forged block header attacks?",Light client verification with consensus rule validation,Merkle proof validation with cryptographic hash verification,Multi-signature validation from trusted validator sets,Single oracle attestation without cryptographic proof,"A, B",Yes
174,Advanced,Which light client implementation strategies can provide trustless verification of foreign chain state without full node requirements?,Sync committee verification for proof-of-stake consensus,Difficulty adjustment validation for proof-of-work chains,Fraud proof mechanisms for optimistic verification,Centralized checkpoint validation without cryptographic proofs,"A, B, C",Yes
175,Advanced,"In Merkle proof validation for cross-chain transactions, which attack vectors can compromise the integrity of inclusion proofs?",Merkle tree collision attacks with hash function weaknesses,Proof path manipulation with invalid intermediate nodes,Root hash substitution with alternative valid trees,Cryptographically sound proof construction,"A, B, C",Yes
176,Advanced,Which consensus rule divergence scenarios pose the greatest risk to cross-chain bridge security?,Hard fork disagreements leading to chain splits,Validator set changes affecting signature verification,Block time adjustments impacting finality assumptions,Identical consensus mechanisms across all chains,"A, B, C",Yes
177,Advanced,"In cross-chain message authentication protocols, which cryptographic techniques ensure message integrity and authenticity?",Digital signatures with cross-chain key verification,Hash-based message authentication codes (HMAC),Threshold signature schemes for distributed validation,Plaintext message transmission without authentication,"A, B, C",Yes
178,Advanced,Which atomic cross-chain swap mechanisms can guarantee transaction atomicity without trusted intermediaries?,Hash time-locked contracts (HTLCs) with secret revelation,Adaptor signatures with scriptless atomic swaps,Zero-knowledge contingent payments,Centralized escrow services with manual intervention,"A, B, C",Yes
179,Advanced,"In diamond proxy pattern (EIP-2535) implementations for DAO governance, which security mechanisms prevent unauthorized function selector conflicts?",Function selector collision detection during facet addition,Access control validation for facet management operations,Immutable core functions with upgrade restrictions,Unrestricted function selector overwriting,"A, B, C",Yes
180,Advanced,Which governance attack vectors can exploit voting mechanisms in token-based DAO systems?,Flash loan governance attacks with temporary token acquisition,Vote buying through secondary markets and bribes,Proposal spam attacks to overwhelm governance processes,Transparent voting without strategic considerations,"A, B, C",Yes
181,Advanced,"In timelock mechanism design for smart contract upgrades, which parameters are critical for balancing security and agility?",Minimum delay period for community review and response,Emergency pause mechanisms for critical vulnerability fixes,Multi-signature requirements for timelock execution,Immediate execution without delay for all proposals,"A, B, C",Yes
182,Advanced,Which proposal and voting vulnerabilities can compromise the integrity of DAO decision-making processes?,Quorum manipulation through coordinated abstention,Last-minute voting attacks near proposal deadlines,Delegation chain attacks in liquid democracy systems,Cryptographically secure voting without manipulation,"A, B, C",Yes
183,Advanced,"In reputation-based governance systems, which mechanisms ensure fair and manipulation-resistant reputation scoring?",Contribution-weighted scoring with verifiable metrics,Time-decay functions for historical reputation adjustment,Sybil resistance through identity verification requirements,Arbitrary reputation assignment without verification,"A, B, C",Yes
184,Advanced,Which hybrid governance model components can effectively combine token-based and reputation-based decision making?,Weighted voting with both token and reputation factors,Quadratic voting mechanisms to reduce plutocracy effects,Expertise-based voting weights for technical proposals,Single-factor voting without hybrid considerations,"A, B, C",Yes
185,Advanced,Which cross-function reentrancy attack patterns can bypass traditional reentrancy guards in complex smart contract systems?,State modification between external calls in different functions,Callback-based reentrancy through ERC-777 token hooks,Cross-contract reentrancy via delegate calls,Simple single-function reentrancy with basic guards,"A, B, C",Yes
186,Advanced,"In flash loan attack patterns against DeFi protocols, which manipulation techniques can exploit price oracle vulnerabilities?",Liquidity pool manipulation to skew price feeds,Arbitrage-based price deviation amplification,Governance token flash loan attacks on oracle parameters,Cryptographically secure oracle feeds without manipulation,"A, B, C",Yes
187,Advanced,Which oracle manipulation techniques can compromise the integrity of price feeds in decentralized finance protocols?,Sandwich attacks around oracle price updates,Flash loan-based liquidity manipulation,Time-weighted average price (TWAP) manipulation over multiple blocks,Tamper-proof oracle infrastructure without attack vectors,"A, B, C",Yes
188,Advanced,"In governance token attack scenarios, which exploitation methods can compromise DAO decision-making processes?",Flash loan acquisition of voting power for malicious proposals,Token delegation attacks through proxy voting mechanisms,Proposal timing attacks during low participation periods,Transparent governance without strategic manipulation,"A, B, C",Yes
189,Advanced,Which signature replay attack vectors can exploit weaknesses in smart contract authentication mechanisms?,Cross-chain signature replay with identical nonce systems,EIP-712 domain separator bypass in signature verification,Meta-transaction replay across different contract instances,Cryptographically unique signatures without replay potential,"A, B, C",Yes
190,Advanced,Which access control bypass techniques can exploit vulnerabilities in role-based permission systems?,Function selector collision attacks in proxy contracts,Initialization function replay in upgradeable contracts,Privilege escalation through delegate call vulnerabilities,Properly implemented access control without bypass vectors,"A, B, C",Yes
191,Advanced,"In PropertyGPT's LLM-driven formal verification framework for smart contracts, which combination of techniques enables automated generation of comprehensive temporal logic properties?",Abstract syntax tree parsing with GPT-4's code understanding capabilities,Computation Tree Logic (CTL) synthesis combined with transition system modeling,Natural language processing of contract specifications with automated CTL* generation,Symbolic execution traces converted to Linear Temporal Logic (LTL) formulas,"B, C",Yes
192,Advanced,"When implementing hybrid zk-STARK and zk-SNARK frameworks for privacy-preserving smart contracts, which architectural considerations are critical for optimizing the trade-off between proof size and verification time?",Using zk-STARKs for recursive proof composition and zk-SNARKs for final aggregation,Employing zk-SNARKs for frequent operations and zk-STARKs for infrequent complex computations,Implementing polynomial commitment schemes that are compatible with both proof systems,Utilizing different elliptic curve groups for each proof system to maximize security,"A, C",Yes
193,Advanced,"In the context of MEV extraction on Layer-2 rollups, which mechanisms can effectively mitigate cross-domain MEV while maintaining atomic composability?",Implementing commit-reveal schemes with verifiable delay functions (VDFs),Using threshold encryption with distributed key generation for transaction ordering,Employing fair sequencing services with cryptographic sortition,Deploying time-locked smart contracts with predetermined execution windows,"A, B, C",Yes
194,Advanced,Which vulnerability pattern in smart contract proxy implementations can lead to storage collision attacks that bypass access control mechanisms?,Uninitialized proxy storage slots conflicting with implementation contract storage layout,Delegatecall context preservation allowing unauthorized state modifications,Storage slot calculation errors in upgradeable proxy patterns,All of the above represent critical proxy vulnerability patterns,D,No
195,Advanced,"In optimistic rollup fraud proof systems, which cryptographic primitives are essential for ensuring both soundness and completeness of the challenge-response protocol?",Merkle-Patricia trie commitments for state root verification,Interactive bisection protocols with polynomial commitment schemes,Zero-knowledge proofs for private witness data in fraud proofs,Verifiable random functions for dispute resolution ordering,"A, B",Yes
196,Advanced,"When analyzing smart contract bytecode for reentrancy vulnerabilities using symbolic execution, which constraint solving techniques provide the highest precision for detecting complex reentrancy patterns?",SMT solving with uninterpreted functions for external call modeling,Bounded model checking with k-induction for loop invariant discovery,Abstract interpretation with widening operators for infinite state spaces,Concolic execution with dynamic symbolic execution for path exploration,"A, D",Yes
197,Advanced,"In zk-SNARK circuits for private smart contract execution, which optimization techniques are most effective for reducing constraint count while maintaining zero-knowledge properties?",Plookup tables for complex arithmetic operations,Custom gates with higher-degree polynomial constraints,Circuit batching with amortized proof generation,Recursive proof composition using proof-carrying data,"A, B, D",Yes
198,Advanced,Which attack vector in flash loan protocols can exploit the atomicity assumption to manipulate oracle prices across multiple DeFi protocols simultaneously?,Cross-protocol arbitrage with temporary liquidity imbalances,Oracle manipulation through concentrated liquidity provision,Governance token flash borrowing for proposal manipulation,Sandwich attacks on automated market maker price discovery,B,No
199,Advanced,"In account abstraction implementations, which security considerations are paramount when designing custom signature validation schemes?",Preventing signature malleability attacks through canonical signature enforcement,Implementing replay protection across different account abstraction implementations,Ensuring gas estimation accuracy for complex validation logic,Maintaining compatibility with existing wallet infrastructure,"A, B, C",Yes
200,Advanced,"When implementing intent-based transaction architectures, which mechanism provides the strongest guarantees for user preference satisfaction while preventing solver manipulation?",Cryptographic commitment schemes with verifiable solver selection,Multi-party computation for private intent matching,Threshold signatures for distributed intent execution,Zero-knowledge proofs for intent satisfaction verification,D,No
201,Advanced,"In the construction of zk-friendly hash functions for smart contract privacy, which design principles are essential for achieving both cryptographic security and circuit efficiency?",Minimizing multiplicative depth while maintaining collision resistance,Using prime field arithmetic compatible with elliptic curve groups,Implementing sponge construction with low-degree S-boxes,Employing algebraic hash functions with known discrete logarithm relations,"A, C",Yes
202,Advanced,Which cryptographic primitive enables efficient verification of smart contract state transitions in zk-rollups while preserving transaction privacy?,Polynomial commitment schemes with batch opening proofs,Accumulator-based membership proofs for state inclusion,Vector commitments with position-binding properties,Homomorphic encryption with circuit evaluation capabilities,A,No
203,Advanced,"In MEV-boost auction mechanisms, which design features can prevent validator centralization while maintaining economic efficiency?",Implementing sealed-bid auctions with commit-reveal schemes,Using verifiable random functions for builder selection randomization,Employing threshold encryption for bid privacy until block proposal,Implementing progressive disclosure of bid information,"A, C",Yes
204,Advanced,Which vulnerability in cross-chain bridge smart contracts can be exploited through time-based attacks that leverage block timestamp manipulation?,Finality period exploitation in optimistic bridge designs,Oracle update frequency mismatches between source and destination chains,Time-locked withdrawal mechanisms with predictable unlock times,Consensus timestamp drift between heterogeneous blockchain networks,"A, C",Yes
205,Advanced,"In the implementation of privacy-preserving automated market makers using zero-knowledge proofs, which constraint is most challenging to satisfy efficiently?",Proving correct execution of constant product formula in zero-knowledge,Maintaining liquidity provider anonymity while preventing double-spending,Verifying slippage protection without revealing trade amounts,Ensuring atomic swap completion across multiple privacy-preserving pools,B,No
206,Advanced,Which techniques in formal verification can effectively model and verify the correctness of upgradeable smart contract systems?,Temporal logic specifications with liveness and safety properties,Refinement relations between implementation and specification contracts,Invariant preservation across contract upgrade transitions,Behavioral equivalence checking between contract versions,"A, C, D",Yes
207,Advanced,"In the design of quantum-resistant smart contracts, which post-quantum cryptographic primitives provide the best trade-off between security and gas efficiency?",Lattice-based signatures with CRYSTALS-Dilithium,Hash-based signatures with SPHINCS+,Code-based cryptography with Classic McEliece,Isogeny-based cryptography with SIKE,A,No
208,Advanced,Which attack vectors in decentralized governance systems can be mitigated through cryptographic voting schemes?,Vote buying through transferable voting tokens,Sybil attacks through identity verification mechanisms,Collusion through verifiable secret sharing of voting power,Bribery through commit-reveal voting with penalties,"B, D",Yes
209,Advanced,"In the context of data availability sampling for rollup security, which cryptographic construction provides the strongest guarantees for detecting data withholding attacks?",Reed-Solomon erasure coding with random sampling,Polynomial commitment schemes with Kate-Zaverucha-Goldberg proofs,Merkle tree commitments with fraud proof challenges,Verifiable random functions for sampling coordinate selection,A,No
210,Advanced,Which mechanisms in smart contract-based prediction markets can prevent manipulation while maintaining market efficiency?,Automated market makers with logarithmic scoring rules,Commit-reveal schemes for large position disclosure,Time-weighted average pricing for outcome determination,Cryptographic sortition for oracle selection,"A, B, D",Yes
211,Advanced,"In proposer-builder separation (PBS) architectures, which mechanism can prevent builders from extracting excessive MEV while maintaining validator decentralization?",Implementing builder bond requirements with slashing conditions,Using verifiable delay functions for block proposal timing,Employing threshold encryption for transaction pool privacy,Implementing fair sequencing services with cryptographic sortition,C,No
212,Advanced,Which techniques can effectively detect and prevent sandwich attacks in decentralized exchange smart contracts?,Implementing batch auctions with uniform clearing prices,Using commit-reveal schemes for trade intention disclosure,Employing time-weighted average pricing for execution,Implementing maximum extractable value (MEV) redistribution mechanisms,"A, B",Yes
213,Advanced,"In cross-rollup MEV extraction scenarios, which protocol design can maintain atomic composability while preventing value extraction?",Implementing shared sequencer architectures with fair ordering,Using optimistic execution with fraud proof mechanisms,Employing zero-knowledge proofs for cross-rollup state verification,Implementing time-locked cross-rollup transaction batching,A,No
214,Advanced,Which cryptographic primitives are essential for implementing fair transaction ordering in MEV-resistant blockchain protocols?,Verifiable delay functions with sequential evaluation requirements,Threshold encryption with distributed key generation,Commit-reveal schemes with economic penalties for deviation,Verifiable random functions for deterministic but unpredictable ordering,"A, B, D",Yes
215,Advanced,"In the analysis of MEV extraction patterns using graph neural networks, which graph features are most predictive of profitable arbitrage opportunities?",Transaction dependency graphs with temporal edge weights,Liquidity pool connectivity with price differential annotations,Smart contract call graphs with gas cost estimations,User interaction patterns with historical profitability metrics,B,No
216,Advanced,Which mechanisms in automated market maker designs can reduce the impact of just-in-time (JIT) liquidity provision on MEV extraction?,Implementing time-weighted liquidity requirements,Using dynamic fee structures based on volatility,Employing liquidity provider lock-up periods,Implementing oracle-based price impact calculations,"A, C",Yes
217,Advanced,"In the context of MEV redistribution mechanisms, which approach provides the fairest distribution while maintaining protocol security?",Proportional redistribution based on transaction fees paid,Equal distribution among all network participants,Redistribution based on stake-weighted random selection,Auction-based redistribution with sealed bid mechanisms,D,No
218,Advanced,Which vulnerability in flash loan protocols enables attackers to manipulate governance votes through temporary token acquisition?,Snapshot-based voting without time-weighted considerations,Lack of minimum holding period requirements for voting eligibility,Insufficient quorum requirements for proposal passage,Absence of delegation restrictions for borrowed tokens,"A, B",Yes
219,Advanced,"In advanced reentrancy attacks that combine flash loans with cross-function reentrancy, which defensive programming patterns provide the strongest protection?",Implementing checks-effects-interactions pattern with reentrancy guards,Using pull payment patterns with withdrawal limits,Employing state machine patterns with explicit state transitions,Implementing atomic transaction batching with rollback mechanisms,"A, C",Yes
220,Advanced,Which attack vector in oracle-dependent smart contracts can exploit the temporal gap between price updates and transaction execution?,Front-running oracle updates with large position changes,Exploiting oracle staleness through delayed price propagation,Manipulating oracle feeds through flash loan-funded trades,All of the above represent valid oracle exploitation techniques,D,No
221,Advanced,"In the implementation of time-locked smart contracts, which vulnerability can be exploited through block timestamp manipulation by miners?",Premature unlock of time-locked funds through timestamp advancement,Delayed execution of time-sensitive operations through timestamp lag,Inconsistent time-lock behavior across different blockchain networks,Oracle timestamp synchronization failures in cross-chain scenarios,"A, B",Yes
222,Advanced,Which technique in smart contract formal verification can prove the absence of integer overflow vulnerabilities in complex arithmetic operations?,Bounded model checking with bit-vector arithmetic,Abstract interpretation with interval domains,Symbolic execution with constraint solving,Static analysis with dataflow analysis,A,No
223,Advanced,"In governance attack scenarios involving proposal manipulation, which mechanisms can prevent attackers from exploiting voting power concentration?",Implementing quadratic voting with identity verification,Using time-weighted voting power calculations,Employing delegation caps to limit voting power concentration,Implementing conviction voting with time-based weight accumulation,"A, C, D",Yes
224,Advanced,Which vulnerability in proxy contract implementations can lead to unauthorized access to administrative functions?,Function selector collision between proxy and implementation contracts,Unprotected initialization functions in implementation contracts,Storage layout incompatibility between contract versions,Delegatecall context confusion in multi-level proxy architectures,"A, B, D",Yes
225,Advanced,"In the analysis of smart contract bytecode for hidden backdoors, which static analysis technique provides the highest detection accuracy?",Control flow graph analysis with reachability checking,Data dependency analysis with taint propagation,Symbolic execution with path constraint solving,Abstract interpretation with value set analysis,C,No
226,Advanced,Which attack pattern in decentralized finance protocols exploits the composability of smart contracts to amplify economic damage?,Recursive liquidation cascades across multiple lending protocols,Cross-protocol arbitrage with temporary liquidity manipulation,Governance token flash borrowing for multi-protocol proposal manipulation,Atomic transaction batching for simultaneous protocol exploitation,"A, D",Yes
227,Advanced,"In the implementation of secure multi-signature wallets, which cryptographic scheme provides the strongest protection against key compromise scenarios?",Threshold signatures with proactive secret sharing,Multi-party computation with verifiable secret sharing,Hierarchical deterministic key derivation with time-locked recovery,Shamir's secret sharing with social recovery mechanisms,A,No
228,Advanced,Which vulnerability in cross-chain bridge protocols can be exploited through consensus finality manipulation?,Double-spending through chain reorganization attacks,Finality reversion through long-range attacks,Consensus timestamp manipulation for time-locked operations,Validator set manipulation through stake grinding attacks,"A, B",Yes
229,Advanced,"In optimistic rollup fraud proof systems, which cryptographic primitive ensures the verifier can efficiently validate state transition correctness?",Merkle-Patricia trie commitments with inclusion proofs,Polynomial commitment schemes with evaluation proofs,Vector commitments with position-binding properties,Accumulator-based membership proofs with batch verification,A,No
230,Advanced,Which mechanism in zk-rollup designs can prevent the sequencer from censoring transactions while maintaining privacy?,Implementing forced inclusion mechanisms with escape hatches,Using verifiable delay functions for transaction ordering,Employing threshold encryption for transaction pool privacy,Implementing decentralized sequencer selection with cryptographic sortition,"A, D",Yes
231,Advanced,"In the design of cross-rollup communication protocols, which challenge is most difficult to solve while maintaining security guarantees?",Ensuring atomic execution across heterogeneous rollup architectures,Maintaining message ordering consistency across different consensus mechanisms,Preventing double-spending in cross-rollup asset transfers,Synchronizing state finality across rollups with different confirmation times,A,No
232,Advanced,Which technique in rollup data compression can achieve the highest compression ratio while maintaining verifiability?,Dictionary-based compression with Merkle tree commitments,Arithmetic coding with zero-knowledge proof verification,Delta compression with state difference encoding,Huffman coding with frequency-based optimization,C,No
233,Advanced,"In the implementation of rollup escape hatches for emergency withdrawals, which security properties must be preserved?",Censorship resistance through alternative withdrawal paths,Double-spending prevention through state commitment verification,Liveness guarantees through timeout-based mechanisms,Privacy preservation through zero-knowledge withdrawal proofs,"A, B, C",Yes
234,Advanced,Which cryptographic construction enables efficient batch verification of multiple rollup state transitions?,Polynomial commitment schemes with batch opening proofs,Aggregate signatures with multi-message verification,Merkle tree aggregation with batch inclusion proofs,Vector commitments with batch position proofs,A,No
235,Advanced,"In the design of upgradeable rollup systems, which mechanism provides the strongest security guarantees against malicious upgrades?",Time-locked upgrade proposals with community review periods,Multi-signature requirements with threshold governance,Formal verification of upgrade compatibility,Gradual rollout with rollback capabilities,"A, C",Yes
236,Advanced,Which challenge in data availability sampling for rollup security requires the most sophisticated cryptographic solutions?,Detecting data withholding attacks through probabilistic sampling,Ensuring sample randomness without revealing sampling strategy,Verifying data availability without downloading complete datasets,Preventing adaptive adversaries from exploiting sampling patterns,D,No
237,Advanced,"In account abstraction implementations with custom signature schemes, which security considerations are most critical for preventing signature forgery?",Implementing domain separation for different signature contexts,Ensuring signature uniqueness through nonce-based replay protection,Preventing signature malleability through canonical encoding,Implementing key rotation mechanisms with forward secrecy,"A, C",Yes
238,Advanced,Which mechanism in intent-based transaction architectures provides the strongest guarantees for user preference satisfaction?,Cryptographic commitment schemes with verifiable solver selection,Multi-party computation for private intent matching,Zero-knowledge proofs for intent satisfaction verification,Threshold signatures for distributed intent execution,C,No
239,Advanced,"In the design of cross-chain interoperability protocols, which cryptographic primitive provides the strongest security guarantees for message authenticity?",Threshold signatures with distributed key generation,Multi-signature schemes with Byzantine fault tolerance,Zero-knowledge proofs of consensus validity,Verifiable random functions for validator selection,C,No
240,Advanced,Which approach in quantum-resistant smart contract design provides the best trade-off between security and computational efficiency?,Hybrid classical-quantum cryptographic schemes with gradual migration,Post-quantum signature aggregation with batch verification,Lattice-based cryptography with optimized parameter selection,Hash-based signatures with Merkle tree optimization,"A, C",Yes
241,Advanced,"In the October 2024 Morpho Blue PAXG/USDC market exploit, what was the primary technical cause that allowed the attacker to withdraw $230,000 with only $351 in collateral?",A reentrancy vulnerability in the withdrawal function,A misconfigured SCALE_FACTOR in the oracle due to decimal differences between PAXG (18 decimals) and USDC (6 decimals),A flash loan attack exploiting price manipulation,A governance token voting manipulation,B,No
242,Advanced,"According to CertiK's 2024 Web3 Security Report, which attack vectors accounted for the highest financial losses? Select all that apply.","Phishing attacks with $1,050,129,498 in losses across 296 incidents","Private key compromises with $855,385,570 stolen across 65 incidents",Reentrancy attacks with $35.7M in losses,Flash loan attacks with $33.8M in losses,"A, B",Yes
243,Advanced,"Sui's Mysticeti consensus algorithm, launched in 2024, achieved what specific performance improvement for owned object transactions?","Reduced latency from 2,200ms to 400ms (80% improvement)","Increased throughput from 1,000 to 10,000 TPS",Decreased gas costs by 90%,Improved finality time from 10 seconds to 1 second,A,No
244,Advanced,Which of the following are key technical characteristics of Fuel Network's modular execution layer? Select all that apply.,FuelVM optimized for parallel execution,UTXO-based transaction model,Account-based state model like Ethereum,Modular design separating execution from consensus,"A, B, D",Yes
245,Advanced,"In Starknet's Cairo programming language, what makes it particularly suitable for zero-knowledge proof applications?",It compiles directly to EVM bytecode,It uses Rust-inspired syntax with ZK-friendly architecture optimized for STARK proofs,It supports dynamic typing for flexible smart contracts,It implements automatic gas optimization,B,No
246,Advanced,Scroll's achievement as the first zk-rollup to reach Stage 1 status was primarily enabled by which technical advancement?,Implementation of fraud proofs,"Transition from hardcoded, opcode-specific zkEVM to fully programmable zkVM with OpenVM",Integration with Ethereum's beacon chain,Adoption of optimistic rollup technology,B,No
247,Advanced,Which security vulnerabilities were identified as the most financially damaging in 2024 according to OWASP Smart Contract Top 10? Select all that apply.,Access Control Vulnerabilities: $953.2M in losses,Logic Errors: $63.8M in losses,Reentrancy Attacks: $35.7M in losses,Flash Loan Attacks: $33.8M in losses,"A, B, C, D",Yes
248,Advanced,Celestia's modular blockchain architecture in 2024 raised $100 million in funding. What is its primary technical function?,Smart contract execution layer,Data availability layer that doesn't execute smart contracts but ensures data availability for other chains,Cross-chain bridge protocol,Decentralized storage network,B,No
249,Advanced,"In Uniswap v4's hooks system launched in 2024, what capabilities do hooks provide to developers? Select all that apply.",Custom logic for pool creation and management,Custom swap execution logic,Custom fee structures,Custom LP position management,"A, B, C, D",Yes
250,Advanced,Pendle Finance's yield tokenization mechanism splits interest-bearing assets into which two components?,Base Token (BT) and Yield Token (YT),Principal Token (PT) and Yield Token (YT),Collateral Token (CT) and Interest Token (IT),Stake Token (ST) and Reward Token (RT),B,No
251,Advanced,"EIP-7702, introduced in May 2024, enables what specific account abstraction functionality?",Allows smart contracts to pay gas fees for users,Allows a signer to designate a smart contract to execute on behalf of its EOA,Enables multi-signature wallet creation,Implements social recovery mechanisms,B,No
252,Advanced,Which of the following represent key differences between EIP-4337 and EIP-7702 for account abstraction? Select all that apply.,"EIP-4337 implements AA without protocol changes, while EIP-7702 requires protocol modifications","EIP-4337 primarily targets new accounts, while EIP-7702 can upgrade existing EOAs","EIP-4337 uses UserOperations, while EIP-7702 uses transaction delegation","EIP-4337 requires bundlers, while EIP-7702 works directly with existing infrastructure","A, B, C, D",Yes
253,Advanced,"In 2024, the aggregate valuation of zero-knowledge proof projects reached what milestone by May?",Over $10 billion,Over $21 billion,Over $50 billion,Over $100 billion,B,No
254,Advanced,Intent-based transaction systems introduced in 2024 rely on which key components to execute user intents? Select all that apply.,Searchers who identify arbitrage opportunities,Resolvers who interpret user intents,Solvers who compete to execute optimal transaction paths,Fillers who provide liquidity for intent execution,"A, B, C, D",Yes
255,Advanced,"NEAR's Intents system, introduced in November 2024, enables what primary functionality?",Direct cross-chain asset transfers,AI agents to execute transactions between chains based on user expressions of desired outcomes,Automated yield farming strategies,Decentralized identity verification,B,No
256,Advanced,Sui's gas pricing mechanism in 2024 achieved what cost advantage compared to other major blockchains?,"600% cheaper than Solana and 86,000% cheaper than Ethereum","50% cheaper than Solana and 1,000% cheaper than Ethereum","200% cheaper than Solana and 10,000% cheaper than Ethereum","Equal to Solana but 50,000% cheaper than Ethereum",A,No
257,Advanced,Which technical vulnerabilities in cross-chain bridge architectures represent primary security risks? Select all that apply.,Compromised multi-signature validator keys,Forged cross-chain message proofs,Client-side replay-protection flaws,Divergent consensus rules between connected chains,"A, B, D",Yes
258,Advanced,Morpho Blue's permissionless lending architecture allows what specific functionality that distinguishes it from traditional DeFi lending protocols?,Automated liquidation mechanisms,Users can create their own isolated lending markets with custom parameters,Integration with centralized exchanges,Support for non-fungible token collateral,B,No
259,Advanced,"Circle's TXT2TXN system, released in August 2024, demonstrates what application of AI in blockchain interactions?",Automated smart contract auditing,Using LLMs to pair user intents with blockchain transactions,AI-powered yield optimization,Machine learning-based fraud detection,B,No
260,Advanced,Which mechanisms can provide trustless verification of foreign-chain blocks without relying on third parties? Select all that apply.,Merkle-proof light clients,Off-chain oracle attestations,Centralized relayer signatures,Zero-knowledge succinct proofs (zk-SNARKs),"A, D",Yes
261,Advanced,Pendle's Boros system (formerly Pendle V3) introduced in November 2024 enables what advanced trading capability?,Automated arbitrage across DEXs,Yield trading with margin and unprecedented capital efficiency,Cross-chain yield farming,Algorithmic stablecoin minting,B,No
262,Advanced,The growth of yield-bearing stablecoins in 2024 showed what remarkable expansion according to Pendle's market analysis?,From $500M to $2B (300% growth),From $1.5B to $11B (633% growth),From $3B to $15B (400% growth),From $2B to $8B (300% growth),B,No
263,Advanced,"Sui Bridge, launched in 2024, facilitated what significant cross-chain activity in its first three months?","Transfer of over 10,000 ETH to Sui","Transfer of over 25,000 ETH to Sui","Transfer of over 50,000 ETH to Sui","Transfer of over 100,000 ETH to Sui",B,No
264,Advanced,Which factors contributed to Q3 2024 being the most costly quarter for Web3 security incidents? Select all that apply.,"$753,301,497 stolen across 157 incidents",Increased phishing attack sophistication,Higher average loss per incident compared to other quarters,Peak activity in private key compromises,"A, B, D",Yes
265,Advanced,"OpenZeppelin's Uniswap v4 hooks library, announced in October 2024, aims to address what primary concern?",Gas optimization for hook execution,Security and standardization of hook development,Cross-chain compatibility of hooks,Automated hook deployment,B,No
266,Advanced,"In modular blockchain architectures like Celestia, what is the primary advantage of separating data availability from execution?",Reduced transaction costs through parallel processing,Enhanced security through cryptographic proofs,Specialized optimization of each layer and improved scalability,Simplified smart contract development,C,No
267,Advanced,Which of the following represent key security considerations specific to Uniswap v4 hooks? Select all that apply.,Hook contract upgrade mechanisms and governance risks,Potential for hooks to manipulate pool state maliciously,Gas limit attacks through complex hook logic,Cross-hook interaction vulnerabilities,"A, B, C, D",Yes
268,Advanced,MEV protection mechanisms in 2024 have evolved to include which advanced techniques? Select all that apply.,Commit-reveal schemes for transaction ordering,Encrypted mempools with threshold decryption,Intent-based transaction execution,Time-weighted average price (TWAP) oracles,"A, B, C",Yes
269,Advanced,Ethereum's transition to account abstraction through EIP-4337 introduces what new transaction type?,MetaTransactions,UserOperations,DelegateTransactions,AbstractTransactions,B,No
270,Advanced,"In zero-knowledge proof systems, what distinguishes zk-SNARKs from zk-STARKs in practical blockchain applications?",zk-SNARKs require trusted setup while zk-STARKs are transparent,zk-STARKs are faster to verify than zk-SNARKs,zk-SNARKs support more complex computations,zk-STARKs require less computational resources,A,No
271,Advanced,Chain abstraction technologies aim to solve which fundamental user experience problems? Select all that apply.,Cross-chain asset management complexity,Multiple gas token requirements,Fragmented liquidity across chains,Inconsistent security models between chains,"A, B, C",Yes
272,Advanced,Sui's object-centric data model differs from Ethereum's account-based model in what fundamental way?,"Objects can be owned by addresses or other objects, enabling parallel transaction execution",Objects are immutable once created,Objects require less storage space,Objects automatically implement access control,A,No
273,Advanced,The Open Intents Framework (OIF) introduced in 2024 aims to standardize what aspect of intent-based systems?,Gas fee calculation methods,Intent expression syntax and solver infrastructure,Cross-chain bridge protocols,Smart contract deployment processes,B,No
274,Advanced,Which factors contributed to the 31.61% increase in Web3 security losses in 2024 compared to 2023? Select all that apply.,Increased sophistication of phishing attacks,Growth in total value locked across DeFi protocols,More complex cross-chain interactions,Inadequate security practices in new protocols,"A, B, C, D",Yes
275,Advanced,Aptos blockchain's Move programming language provides what specific security advantage over Solidity?,Automatic gas optimization,Resource-oriented programming model that prevents common vulnerabilities like reentrancy,Built-in formal verification tools,Dynamic type checking,B,No
276,Advanced,"In DAO governance attacks, which vulnerabilities are most commonly exploited? Select all that apply.",Flash loan governance token acquisition,Proposal execution delay exploitation,Quorum manipulation through token delegation,Time-based voting power accumulation,"A, B, C",Yes
277,Advanced,Scroll's zkEVM implementation achieved Stage 1 rollup status by meeting which specific technical requirement?,Implementing fraud proofs for dispute resolution,Achieving full EVM equivalence with zero-knowledge proof verification,Establishing a decentralized sequencer network,Implementing emergency withdrawal mechanisms,B,No
278,Advanced,Liquid staking derivatives (LSDs) introduce what specific risks to DeFi protocols? Select all that apply.,Slashing risk propagation to DeFi users,Centralization of validator control,Liquidity risk during unstaking periods,Smart contract risk in staking protocols,"A, B, C, D",Yes
279,Advanced,The concept of 'programmable money' in Web3 is best exemplified by which technological capability?,Automated market makers,"Smart contracts that can hold, transfer, and execute logic with digital assets",Cross-chain bridges,Decentralized exchanges,B,No
280,Advanced,Ethereum's upcoming Verkle trees upgrade will primarily improve what aspect of the network?,Transaction throughput,State proof size and light client efficiency,Smart contract execution speed,Gas fee predictability,B,No
