id,question,answer,category,task_type,evaluation_method
760,Which of the following are decentralized identity protocols in DeFi? Options: A) Civic B) Selfkey C) Uniswap D) Aave,"A, B",dmind_defi,multiple_choice,rule_based
761,Which of the following are decentralized prediction markets in DeFi? Options: A) Augur B) Gnosis C) Uniswap D) Aave,"A, B",dmind_defi,multiple_choice,rule_based
762,Which of the following are cross-chain bridges in DeFi? Options: A) Wormhole B) Multichain C) Hop Protocol D) Uniswap,"A, B, C",dmind_defi,multiple_choice,rule_based
763,Which of the following are fixed income protocols in DeFi? Options: A) Element Finance B) Notional Finance C) Uniswap D) Aave,"A, B",dmind_defi,multiple_choice,rule_based
764,Which of the following are decentralized options protocols in DeFi? Options: A) Opyn B) Hegic C) Uniswap D) Aave,"A, B",dmind_defi,multiple_choice,rule_based
765,Which of the following are current major trends in DeFi? Options: A) Tokenization of physical assets B) Cross-chain interoperability C) Real-time payments D) Centralized control,"A, B, C",dmind_defi,multiple_choice,rule_based
766,Which of the following are AMM models in DeFi? Options: A) Constant product B) Constant sum C) Weighted curves D) Constant median,"A, B, C",dmind_defi,multiple_choice,rule_based
767,Which of the following are lending models in DeFi? Options: A) Overcollateralized B) Flash loans C) Uncollateralized loans D) Credit loans,"A, B, C",dmind_defi,multiple_choice,rule_based
768,Which of the following are asset types in DeFi? Options: A) Stablecoins B) Governance tokens C) LP tokens D) Physical stocks,"A, B, C",dmind_defi,multiple_choice,rule_based
769,Which of the following are transaction types in DeFi? Options: A) Spot trading B) Leveraged trading C) Futures trading D) Physical delivery,"A, B, C",dmind_defi,multiple_choice,rule_based
770,Which of the following are yield representation methods in DeFi? Options: A) APY (Annual Percentage Yield) B) APR (Annual Percentage Rate) C) Fixed amount D) Token quantity,"A, B",dmind_defi,multiple_choice,rule_based
771,Which of the following are liquidity mining strategies in DeFi? Options: A) Single-asset staking B) LP token staking C) Lending protocol staking D) Physical asset staking,"A, B, C",dmind_defi,multiple_choice,rule_based
772,Which of the following are risk management tools in DeFi? Options: A) Insurance protocols B) Risk scoring C) Multi-signature wallets D) Centralized custody,"A, B, C",dmind_defi,multiple_choice,rule_based
773,Which of the following are decentralized governance methods in DeFi? Options: A) Token voting B) Proposal systems C) Delegated voting D) Centralized decision-making,"A, B, C",dmind_defi,multiple_choice,rule_based
774,Which of the following are effective risk control measures for DeFi flash loan mechanisms? Options: A) Multi-asset verification B) Time-locked transactions C) Prevention of replay attacks D) Real-time monitoring and automatic interruption,"B, D",dmind_defi,multiple_choice,rule_based
775,Which of the following are main metrics in DeFi? Options: A) Total Value Locked (TVL) B) Trading volume C) User count D) Product appearance,"A, B, C",dmind_defi,multiple_choice,rule_based
776,Which mechanism is most suitable for preventing flash loan attacks in DeFi? Options: A) Using Time-Weighted Average Price (TWAP) B) Increasing transaction fees C) Limiting transaction size D) Centralized review,Using Time-Weighted Average Price (TWAP),dmind_defi,multiple_choice,rule_based
777,Which DeFi liquidity strategy has achieved higher capital efficiency? Options: A) Single-asset staking B) Concentrated liquidity provision C) Full-range liquidity provision D) Passive holding,Concentrated liquidity provision,dmind_defi,multiple_choice,rule_based
778,Which mechanism is used to balance supply and demand in DeFi lending protocols? Options: A) Interest rate models B) Governance voting C) Oracles D) Liquidity mining,Interest rate models,dmind_defi,multiple_choice,rule_based
779,Which DeFi protocol innovation solves the cross-chain liquidity fragmentation problem? Options: A) Cross-chain AMMs B) Multi-chain lending C) Liquidity aggregators D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
780,Which mechanism is most suitable for solving oracle manipulation problems in DeFi? Options: A) Time-Weighted Average Price (TWAP) B) Multi-source data aggregation C) On-chain governance D) Centralized verification,Multi-source data aggregation,dmind_defi,multiple_choice,rule_based
781,"What is the main disadvantage of Liquidity Mining"" in DeFi?"" Options: A) Temporary liquidity B) High gas fees C) Low yields D) Complex user interfaces",Temporary liquidity,dmind_defi,multiple_choice,rule_based
782,Which DeFi protocol innovation has improved stablecoin capital efficiency? Options: A) Overcollateralized models B) Algorithmic stablecoins C) Partially collateralized models D) Centralized stablecoins,Partially collateralized models,dmind_defi,multiple_choice,rule_based
783,Which mechanism is most suitable for solving MEV (Maximal Extractable Value) problems in DeFi? Options: A) Batch auctions B) Increasing transaction fees C) Limiting transaction size D) Centralized ordering,Batch auctions,dmind_defi,multiple_choice,rule_based
784,Which DeFi protocol innovation has reduced gas fees? Options: A) Layer 2 solutions B) Centralized exchanges C) Increasing block size D) Reducing transaction frequency,Layer 2 solutions,dmind_defi,multiple_choice,rule_based
785,Which mechanism is most suitable for improving capital efficiency in DeFi protocols? Options: A) Leverage B) Overcollateralization C) Liquidity restrictions D) Centralized control,Leverage,dmind_defi,multiple_choice,rule_based
786,Which DeFi protocol innovation has solved the security problem of cross-chain asset transfers? Options: A) Multi-signature bridges B) Light client verification C) Zero-knowledge proof bridges D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
787,Which mechanism is most suitable for solving liquidity concentration risk in DeFi? Options: A) Liquidity dispersion incentives B) Centralized control C) Increasing transaction fees D) Limiting transaction size,Liquidity dispersion incentives,dmind_defi,multiple_choice,rule_based
788,"What is the main risk of Yield Strategies"" in DeFi?"" Options: A) Smart contract risk B) Low yields C) High gas fees D) Complex user interfaces",Smart contract risk,dmind_defi,multiple_choice,rule_based
789,Which DeFi protocol innovation has solved the stablecoin de-pegging problem? Options: A) Multi-asset collateralization B) Algorithmic stabilization mechanisms C) Decentralized reserves D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
790,"What does the sustainability of Liquidity Mining"" in DeFi primarily depend on?"" Options: A) Protocol revenue B) Token inflation C) External investment D) User growth",Protocol revenue,dmind_defi,multiple_choice,rule_based
791,"What is the main advantage of Yield Aggregators"" in DeFi?"" Options: A) Automated strategy optimization B) Reduced gas fees C) Enhanced security D) Simplified user interfaces",Automated strategy optimization,dmind_defi,multiple_choice,rule_based
792,Which DeFi protocol innovation has solved the liquidity problem of decentralized options? Options: A) Automated Market Makers B) Liquidity mining C) Options pools D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
793,Which mechanism is most suitable for solving collateral efficiency problems in DeFi? Options: A) Collateral diversification B) Risk tranching C) Dynamic collateralization ratios D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
794,"What is the main risk faced by Liquidity Providers"" in DeFi?"" Options: A) Impermanent loss B) Low yields C) High gas fees D) Complex user interfaces",Impermanent loss,dmind_defi,multiple_choice,rule_based
795,Which mechanism is most suitable for solving liquidity exit problems in DeFi? Options: A) Liquidity locking B) Exit fees C) Graduated exits D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
796,"What is the main goal of Yield Strategies"" in DeFi?"" Options: A) Maximizing risk-adjusted returns B) Minimizing gas fees C) Maximizing transaction volume D) Minimizing impermanent loss",Maximizing risk-adjusted returns,dmind_defi,multiple_choice,rule_based
797,Which mechanism is most suitable for solving liquidity depth problems in DeFi? Options: A) Concentrated liquidity B) Liquidity mining C) Multi-asset pools D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
798,Which mechanism is most suitable for solving governance participation problems in DeFi? Options: A) Delegated voting B) Voting incentives C) Governance minimization D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
799,"What does the long-term viability of Liquidity Mining"" in DeFi primarily depend on?"" Options: A) Protocol generating real value B) Token price appreciation C) User growth D) External investment",Protocol generating real value,dmind_defi,multiple_choice,rule_based
800,Which DeFi protocol innovation has solved the liquidity problem of decentralized prediction markets? Options: A) Automated Market Makers B) Liquidity mining C) Outcome validation incentives D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
801,What are the systemic risk issues in algorithmic stablecoin design? Options: A) Dynamic reserve management B) Multi-asset anchoring mechanisms C) Real-time market feedback algorithms D) External audits and transparency reporting,"A, B, D",dmind_defi,multiple_choice,rule_based
802,What are the main risks of lending protocols in DeFi? Options: A) Liquidation risk B) Interest rate risk C) Oracle risk D) Government regulation,"A, B, C",dmind_defi,multiple_choice,rule_based
803,What are the main strategies for liquidity mining in DeFi? Options: A) Single-asset staking B) LP token staking C) Lending protocol staking D) Physical asset staking,"A, B, C",dmind_defi,multiple_choice,rule_based
804,What are the risk hedging strategies for synthetic asset mechanisms in DeFi? Options: A) Asset overcollateralization B) Price oracle multi-source verification C) Dynamic risk adjustment D) Fixed rate hedging,"A, B, C",dmind_defi,multiple_choice,rule_based
805,What are the risk management tools in DeFi? Options: A) Insurance protocols B) Risk scoring C) Multi-signature wallets D) Centralized custody,"A, B, C",dmind_defi,multiple_choice,rule_based
806,What are the decentralized governance methods in DeFi? Options: A) Token voting B) Proposal systems C) Delegated voting D) Centralized decision-making,"A, B, C",dmind_defi,multiple_choice,rule_based
807,What are the oracle solutions in DeFi? Options: A) Centralized oracles B) Decentralized oracle networks C) On-chain oracles D) Physical oracles,"A, B, C",dmind_defi,multiple_choice,rule_based
808,What are the incentive mechanisms for liquidity providers in DeFi? Options: A) Trading fee sharing B) Token rewards C) Protocol revenue sharing D) Prize draws,"A, B, C",dmind_defi,multiple_choice,rule_based
809,What are the yield optimization strategies in DeFi? Options: A) Leveraged yield farming B) Yield curve arbitrage C) Liquidity mining rotation D) Centralized deposits,"A, B, C",dmind_defi,multiple_choice,rule_based
810,What are the cross-chain solutions in DeFi? Options: A) Custodial bridges B) Decentralized bridges C) Light client verification D) Centralized exchanges,"A, B, C",dmind_defi,multiple_choice,rule_based
811,What are the stablecoin mechanisms in DeFi? Options: A) Fiat-collateralized B) Crypto-collateralized C) Algorithmic D) Bank-issued,"A, B, C",dmind_defi,multiple_choice,rule_based
812,What are the MEV (Maximal Extractable Value) mitigation strategies in DeFi? Options: A) Batch auctions B) Timelocks C) Centralized ordering D) Physical isolation,"A, B",dmind_defi,multiple_choice,rule_based
813,What are the asset management strategies in DeFi? Options: A) Automatic rebalancing B) Risk tranching C) Multi-strategy portfolios D) Centralized management,"A, B, C",dmind_defi,multiple_choice,rule_based
814,What are the decentralized identity solutions in DeFi? Options: A) Zero-knowledge proofs B) Decentralized identifiers C) Centralized verification D) Physical ID cards,"A, B",dmind_defi,multiple_choice,rule_based
815,What are the liquidity risks in DeFi? Options: A) Liquidity drains B) Liquidity fragmentation C) Liquidity concentration D) Centralized control,"A, B, C",dmind_defi,multiple_choice,rule_based
816,What are the key design challenges for DeFi Layer2 scaling solutions? Options: A) Security guarantees B) High concurrency processing C) User privacy protection D) Cross-chain compatibility,"A, B, D",dmind_defi,multiple_choice,rule_based
817,What are the governance risks in DeFi? Options: A) Governance attacks B) Insufficient governance participation C) Governance capture D) Centralized control,"A, B, C",dmind_defi,multiple_choice,rule_based
818,What were the main DeFi trends in Q1 2024? Options: A) Tokenization of physical assets B) Cross-chain interoperability C) Real-time payments D) Centralized control,"A, B, C",dmind_defi,multiple_choice,rule_based
819,Which DeFi protocol innovation most effectively balances capital efficiency and risk management? Options: A) Tranched risk protocols B) Dynamic collateralization ratios C) Isolated markets D) Risk pricing models,Tranched risk protocols,dmind_defi,multiple_choice,rule_based
820,"What is the main advantage of the Concentrated Liquidity"" model compared to traditional AMMs in DeFi?"" Options: A) Capital efficiency improved 100-4000 times B) Complete elimination of impermanent loss C) Reduced gas fees D) Simplified user experience",Capital efficiency improved 100-4000 times,dmind_defi,multiple_choice,rule_based
821,Which DeFi mechanism is most suitable for solving cross-chain liquidity fragmentation? Options: A) Atomic swaps B) Liquidity Layer C) Centralized bridges D) Unified token standards,Liquidity Layer,dmind_defi,multiple_choice,rule_based
822,Which DeFi risk management innovation most effectively addresses flash loan attacks? Options: A) Multi-period price oracles B) Transaction size limits C) On-chain risk scoring D) Decentralized insurance,Multi-period price oracles,dmind_defi,multiple_choice,rule_based
823,"What is the core mechanism of Yield Curve Control"" strategies in DeFi?"" Options: A) Maintaining target yields through market operations B) Limiting maximum yields C) Guaranteeing minimum yields D) Randomly allocating yields",Maintaining target yields through market operations,dmind_defi,multiple_choice,rule_based
824,Which DeFi mechanism is most suitable for solving liquidity depth problems in decentralized derivatives markets? Options: A) Virtual AMMs (vAMM) B) Order book aggregation C) Liquidity mining D) Centralized market makers,Virtual AMMs (vAMM),dmind_defi,multiple_choice,rule_based
825,Which DeFi innovation most effectively solves the trust problem of cross-chain asset transfers? Options: A) Zero-knowledge validity proofs B) Multi-signature verification C) Decentralized oracles D) On-chain governance,Zero-knowledge validity proofs,dmind_defi,multiple_choice,rule_based
826,"What are Liquidity Routing Optimization"" core algorithms in DeFi typically based on?"" Options: A) Weighted graph search algorithms B) Random forests C) Neural networks D) Genetic algorithms",Weighted graph search algorithms,dmind_defi,multiple_choice,rule_based
827,Which DeFi mechanism is most suitable for solving interest rate volatility problems in decentralized lending markets? Options: A) Interest rate swaps B) Fixed-rate pools C) Interest rate caps D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
828,Which DeFi innovation most effectively solves the capital efficiency problem of stablecoins? Options: A) Partially collateralized algorithmic stablecoins B) Overcollateralized stablecoins C) Fiat-collateralized stablecoins D) Centralized stablecoins,Partially collateralized algorithmic stablecoins,dmind_defi,multiple_choice,rule_based
829,"What factors are Dynamic Risk Pricing"" models in DeFi typically based on?"" Options: A) Market volatility B) collateralization ratio C) and protocol utilization D) User reputation",Historical transaction volume,dmind_defi,multiple_choice,rule_based
830,Which DeFi mechanism is most suitable for solving adverse selection problems in decentralized insurance? Options: A) Risk pool stratification B) Fixed premiums C) Centralized review D) Mandatory participation,Risk pool stratification,dmind_defi,multiple_choice,rule_based
831,"What is the core of Yield Curve Arbitrage"" strategies in DeFi?"" Options: A) Exploiting yield differences between assets of different maturities B) Exploiting price differences between different assets C) Exploiting security differences between different protocols D) Exploiting gas fee differences between different chains",Exploiting yield differences between assets of different maturities,dmind_defi,multiple_choice,rule_based
832,Which DeFi mechanism is most suitable for solving liquidity problems in decentralized synthetic assets? Options: A) Virtual liquidity B) Liquidity mining C) Centralized market making D) Forced liquidity provision,Virtual liquidity,dmind_defi,multiple_choice,rule_based
833,Which DeFi innovation most effectively solves the standardization problem of cross-chain interoperability? Options: A) Cross-chain messaging protocols B) Unified token standards C) Centralized bridges D) Multi-chain wallets,Cross-chain messaging protocols,dmind_defi,multiple_choice,rule_based
834,"What methods do Liquidity Risk Modeling"" in DeFi typically use?"" Options: A) Monte Carlo simulations B) Linear regression C) Decision trees D) Simple averaging",Monte Carlo simulations,dmind_defi,multiple_choice,rule_based
835,Which DeFi mechanism is most suitable for solving outcome validation problems in decentralized prediction markets? Options: A) Decentralized oracle networks B) Multi-signatures C) Centralized verification D) Random validator selection,Decentralized oracle networks,dmind_defi,multiple_choice,rule_based
836,Which DeFi innovation most effectively solves the legal compliance problem of tokenizing physical assets? Options: A) Compliant tokenization frameworks B) Decentralized identity verification C) Centralized custody D) Anonymous transactions,Compliant tokenization frameworks,dmind_defi,multiple_choice,rule_based
837,"What is the core of Liquidity Depth Optimization"" in DeFi?"" Options: A) Capital allocation to minimize price impact B) Increasing total liquidity C) Reducing transaction fees D) Simplifying user experience",Capital allocation to minimize price impact,dmind_defi,multiple_choice,rule_based
838,Which DeFi mechanism is most suitable for solving risk diversification problems in decentralized asset management? Options: A) Multi-strategy portfolios B) Single-asset concentration C) Centralized management D) Random asset allocation,Multi-strategy portfolios,dmind_defi,multiple_choice,rule_based
839,"What is the core technology of Yield Strategy Automation"" in DeFi?"" Options: A) Smart contract automatic execution B) Manual intervention C) Centralized control D) Random strategy selection",Smart contract automatic execution,dmind_defi,multiple_choice,rule_based
840,Which DeFi mechanism is most suitable for solving long-tail asset liquidity problems in decentralized lending markets? Options: A) Isolated markets B) Risk parameter adjustments C) Liquidity mining D) All of the above,All of the above,dmind_defi,multiple_choice,rule_based
841,Which DeFi innovation most effectively balances user experience and decentralization? Options: A) Account abstraction B) Centralized frontends C) Simplified protocols D) Educational programs,Account abstraction,dmind_defi,multiple_choice,rule_based
842,"What are the advantages of the Concentrated Liquidity"" (Concentrated Liquidity) model in DeFi?"" Options: A) Improved liquidity capital utilization B) Fine-grained pricing mechanisms to reduce slippage C) Dynamic adjustment of liquidity incentives to adapt to market volatility D) Support for multi-asset pool swaps to improve efficiency","A, C, D",dmind_defi,multiple_choice,rule_based
843,What are the main challenges of cross-chain interoperability in DeFi? Options: A) Cross-chain asset secure transfer protocol flaws B) Data consistency challenges between different chains C) Cross-chain governance model divergence D) Insufficient low-latency cross-chain communication technology,"B, D",dmind_defi,multiple_choice,rule_based
844,What are advanced risk management techniques in DeFi? Options: A) Real-time risk assessment algorithms B) Blockchain-based credit derivatives C) Adaptive risk mitigation mechanisms D) Multi-dimensional asset correlation analysis,"A, C, D",dmind_defi,multiple_choice,rule_based
845,What are advanced yield optimization strategies in DeFi? Options: A) Quantitative liquidity mining strategies B) Algorithm-driven automatic rebalancing systems C) Combined strategies of options and leverage D) Smart contract-based risk-free arbitrage mechanisms,"B, C",dmind_defi,multiple_choice,rule_based
846,What are the main types of MEV (Maximal Extractable Value) in DeFi? Options: A) Front-running arbitrage B) Back-running transaction reordering C) On-chain entropy interference attacks D) Fake transaction flow injection,"A, B, D",dmind_defi,multiple_choice,rule_based
847,What are advanced decentralized governance mechanisms in DeFi? Options: A) Distributed consensus voting mechanisms B) Tokenized reputation systems C) Multi-stage decision processes on the blockchain D) Zero-knowledge voting verification,"A, D",dmind_defi,multiple_choice,rule_based
848,What are the main challenges of tokenizing physical assets in DeFi? Options: A) Integration of cross-national legal regulations B) Insufficient asset liquidity and market depth C) Uncertainty in blockchain asset valuation D) Difficulty in real-time asset status monitoring,"A, C, D",dmind_defi,multiple_choice,rule_based
849,What are advanced liquidity management techniques in DeFi? Options: A) Multi-path transaction execution optimization B) Blockchain data-based liquidity prediction models C) Smart contract automatic liquidity adjustment D) Dynamic asset allocation and cross-pool arbitrage,"A, C",dmind_defi,multiple_choice,rule_based
850,What are the main types of decentralized derivatives in DeFi? Options: A) Synthetic asset-based index contracts B) Perpetual swaps and volatility options C) Structured derivatives and layered liquidation mechanisms D) Real-time on-chain risk hedging contracts,"B, C, D",dmind_defi,multiple_choice,rule_based
851,What are advanced oracle solutions in DeFi? Options: A) Distributed oracle consensus mechanisms B) Integration of off-chain data verification and on-chain recording C) Machine learning-driven price prediction models D) Self-validating data aggregation protocols,"A, C, D",dmind_defi,multiple_choice,rule_based
852,What were the cutting-edge DeFi innovations in Q1 2024? Options: A) Multi-chain asset interoperability enhancement modules B) Zero-knowledge privacy transaction engines C) Layered Layer 2 solutions and scalability technologies D) Decentralized liquidity market depth exploration,"B, C",dmind_defi,multiple_choice,rule_based
853,What are advanced capital efficiency optimization techniques in DeFi? Options: A) High-dimensional asset risk diversification models B) Smart asset refinancing and dynamic collateralization ratio C) Compound leverage and distributed liquidation strategies D) Multi-layer liquidity management and invisible incentives,"A, B, D",dmind_defi,multiple_choice,rule_based
854,Which mechanism does EigenLayer use to enable validators to secure multiple networks simultaneously while maintaining slashing conditions? Options: A) Optimistic rollup validation with fraud proofs B) Restaking with operator delegation and AVS registration C) Zero-knowledge proof aggregation across chains D) Liquid staking token wrapping with yield distribution,Restaking with operator delegation and AVS registration,dmind_defi,multiple_choice,rule_based
855,Select all factors that contribute to the slashing risk in liquid restaking tokens (LRTs) compared to standard liquid staking tokens (LSTs). Options: A) Multiple AVS (Actively Validated Services) validation requirements B) Cross-chain bridge security dependencies C) Operator misbehavior across different protocols D) Smart contract bugs in restaking middleware,"A, C, D",dmind_defi,multiple_choice,rule_based
856,What is the primary technical difference between Babylon Protocol's Bitcoin staking and traditional Ethereum-based liquid staking? Options: A) Uses HTLC (Hash Time Locked Contracts) for cross-chain validation B) Implements EOTS (Extractable One-Time Signatures) for slashing on Bitcoin C) Relies on multi-signature wallets with time-locked withdrawals D) Employs wrapped Bitcoin tokens on Ethereum for staking rewards,Implements EOTS (Extractable One-Time Signatures) for slashing on Bitcoin,dmind_defi,multiple_choice,rule_based
857,Which protocols currently dominate the liquid staking market by TVL as of July 2025? Options: A) Lido Finance with over $22 billion on Ethereum B) Rocket Pool with approximately $1.6 billion C) Jito Liquid Staking with $2.7 billion on Solana D) Binance Staked ETH with $6.4 billion,"A, C, D",dmind_defi,multiple_choice,rule_based
858,"In the context of cross-chain interoperability, what is the main security risk associated with optimistic bridge designs? Options: A) Validator collusion during the challenge period B) Oracle price manipulation affecting bridge rates C) Fraudulent withdrawals during the dispute window D) Smart contract upgrades without governance approval",Fraudulent withdrawals during the dispute window,dmind_defi,multiple_choice,rule_based
859,Which cross-chain protocols are specifically designed to enable seamless asset transfers and communication between different blockchains? Options: A) Polkadot with its parachain architecture B) Cosmos using the Inter-Blockchain Communication (IBC) protocol C) LayerZero for omnichain applications D) Chainlink CCIP (Cross-Chain Interoperability Protocol),"A, B, C, D",dmind_defi,multiple_choice,rule_based
860,What is the primary benefit of account abstraction (EIP-4337) for DeFi applications? Options: A) Reduces gas fees through batch transaction processing B) Enables smart contract wallets with programmable transaction logic C) Provides native cross-chain transaction capabilities D) Implements automatic MEV protection for all transactions,Enables smart contract wallets with programmable transaction logic,dmind_defi,multiple_choice,rule_based
861,Which recent development allows users to interact with multiple blockchains without manually switching networks or managing different tokens? Options: A) Chain abstraction protocols like NEAR's approach B) Universal smart contract standards (ERC-6551) C) Automated market maker aggregation D) Decentralized identity verification systems,Chain abstraction protocols like NEAR's approach,dmind_defi,multiple_choice,rule_based
862,Select all MEV protection mechanisms that are currently being implemented in 2025 DeFi protocols. Options: A) Encrypted mempools to hide transaction details B) Commit-reveal schemes for order submission C) Threshold encryption with time-locked decryption D) Private transaction pools with delayed execution,"A, B, C, D",dmind_defi,multiple_choice,rule_based
863,What is the key vulnerability that recent EIP-7702 exploits have targeted in flash loan attacks? Options: A) Bypassing on-chain security mechanisms through account code delegation B) Manipulating oracle prices during transaction execution C) Exploiting reentrancy guards in lending protocols D) Circumventing multi-signature wallet confirmations,Bypassing on-chain security mechanisms through account code delegation,dmind_defi,multiple_choice,rule_based
864,What is the current market value of on-chain real-world assets (RWAs) as reported by Binance Research in 2025? Options: A) $8 billion B) $12 billion C) $16 billion D) $20 billion,$12 billion,dmind_defi,multiple_choice,rule_based
865,Select all benefits that RWA tokenization provides to traditional asset markets. Options: A) Increased liquidity through fractional ownership B) 24/7 trading capabilities on decentralized exchanges C) Immutable blockchain records reducing fraud risk D) Automatic compliance with all international regulations,"A, B, C",dmind_defi,multiple_choice,rule_based
866,Which platforms are currently pioneering RWA tokenization in the DeFi space? Options: A) Ondo Finance for tokenized government bonds B) Maple Finance for institutional credit C) Centrifuge for real estate tokenization D) MakerDAO for traditional asset collateral,"A, B",dmind_defi,multiple_choice,rule_based
867,"According to Boston Consulting Group's prediction, what could the tokenized asset market reach by 2030? Options: A) $8 trillion B) $12 trillion C) $16 trillion D) $24 trillion",$16 trillion,dmind_defi,multiple_choice,rule_based
868,Which traditional financial institutions are actively exploring DeFi yield farming and lending services in 2025? Options: A) JPMorgan Chase B) Goldman Sachs C) BlackRock D) Wells Fargo,"A, B, C",dmind_defi,multiple_choice,rule_based
869,What regulatory framework is the European Central Bank (ECB) developing for DeFi applications? Options: A) Markets in Crypto-Assets (MiCA) compliance guidelines B) Decentralized Finance Regulatory Framework (DFRF) C) Guidelines for regulated DeFi applications D) European Digital Asset Standards (EDAS),Guidelines for regulated DeFi applications,dmind_defi,multiple_choice,rule_based
870,Which regulatory development is the SEC considering to expedite DeFi project approvals? Options: A) Sandbox regulatory environment for DeFi testing B) Innovation exemption framework for conditional relief C) Fast-track approval process for established protocols D) Automatic registration for audited smart contracts,Innovation exemption framework for conditional relief,dmind_defi,multiple_choice,rule_based
871,What was the total amount lost to crypto hacks and exploits in the first half of 2025? Options: A) $1.8 billion B) $2.1 billion C) $2.4 billion D) $2.7 billion,$2.4 billion,dmind_defi,multiple_choice,rule_based
872,Select all types of attacks that contributed to DeFi losses in 2025. Options: A) Flash loan manipulations and reentrancy attacks B) Cross-chain bridge exploits C) Oracle price manipulation D) Social engineering attacks on protocol teams,"A, B, C, D",dmind_defi,multiple_choice,rule_based
873,What percentage of crypto losses in H1 2025 were attributed to protocol-level exploits such as flash loans and reentrancy? Options: A) 8% B) 12% C) 16% D) 20%,12%,dmind_defi,multiple_choice,rule_based
874,Which DeFi insurance protocols provide coverage against smart contract exploits and protocol failures? Options: A) Nexus Mutual with peer-to-peer insurance pools B) InsurAce offering multi-chain coverage C) Bridge Mutual for cross-chain protection D) Unslashed Finance for validator insurance,"A, B",dmind_defi,multiple_choice,rule_based
875,What is the primary mechanism that Nexus Mutual uses to provide DeFi insurance coverage? Options: A) Traditional insurance company backing with fiat reserves B) ETH pooling with premium payments and risk assessment C) Cross-chain collateral locked in multi-signature wallets D) Algorithmic pricing based on protocol TVL fluctuations,ETH pooling with premium payments and risk assessment,dmind_defi,multiple_choice,rule_based
876,"In the recent Resupply protocol attack, what was the core vulnerability exploited by the attacker? Options: A) Oracle price manipulation during flash loan execution B) Reentrancy in the withdrawal function allowing multiple claims C) Improper validation of collateral ratios in lending pools D) Cross-chain message verification bypass",Oracle price manipulation during flash loan execution,dmind_defi,multiple_choice,rule_based
877,What was the approximate loss amount in the recent GMX exchange exploit in July 2025? Options: A) $32 million B) $42 million C) $52 million D) $62 million,$42 million,dmind_defi,multiple_choice,rule_based
878,Select all AI-powered features that are being integrated into DeFi platforms in 2025. Options: A) Automated portfolio rebalancing based on market conditions B) Real-time risk assessment and liquidation prevention C) Predictive yield farming opportunity identification D) Automated compliance monitoring for regulatory requirements,"A, B, C, D",dmind_defi,multiple_choice,rule_based
879,Which protocol uses AI to automate portfolio management in DeFi? Options: A) SingularityDAO with machine learning algorithms B) Yearn Finance with automated vault strategies C) Convex Finance with optimized reward distribution D) Harvest Finance with yield optimization,SingularityDAO with machine learning algorithms,dmind_defi,multiple_choice,rule_based
880,How does Fetch.ai integrate machine learning with decentralized financial applications? Options: A) Through autonomous economic agents that execute trades B) By providing oracle data feeds with ML-enhanced accuracy C) Using predictive models for liquidity pool optimization D) Via smart contract auditing with automated vulnerability detection,Through autonomous economic agents that execute trades,dmind_defi,multiple_choice,rule_based
881,What role do AI agents play in the future of DeFi according to 2025 developments? Options: A) Replacing human traders in all DeFi transactions B) Learning and adapting across different blockchain networks C) Providing regulatory compliance automation D) Eliminating the need for smart contract audits,Learning and adapting across different blockchain networks,dmind_defi,multiple_choice,rule_based
882,Which new DeFi protocol launched in 2025 with a focus on Bitcoin DeFi integration? Options: A) Grove Protocol with $1 billion tokenized credit strategy B) Threshold Network's tBTC on Sui blockchain C) VaultLayer for Bitcoin liquid staking D) Babylon Protocol for native Bitcoin staking,"A, B",dmind_defi,multiple_choice,rule_based
883,What is the current Total Value Locked (TVL) in DeFi as of July 2025? Options: A) $98 billion B) $108 billion C) $116 billion D) $124 billion,$116 billion,dmind_defi,multiple_choice,rule_based
884,Which blockchain has emerged as the third-largest for Real-World Assets (RWA) by TVL in 2025? Options: A) Polygon B) Arbitrum C) Aptos D) Avalanche,Aptos,dmind_defi,multiple_choice,rule_based
885,What is Aptos's current RWA TVL that places it in the top 3 globally? Options: A) $420 million B) $538 million C) $650 million D) $720 million,$538 million,dmind_defi,multiple_choice,rule_based
886,Select all factors contributing to the growth of liquid staking and restaking in 2025. Options: A) Ethereum's transition to Proof-of-Stake creating staking demand B) Capital efficiency improvements through restaking mechanisms C) Cross-chain validation opportunities expanding D) Regulatory clarity reducing institutional hesitation,"A, B, C, D",dmind_defi,multiple_choice,rule_based
887,What is the current TVL of AAVE V3 across all chains as of July 2025? Options: A) $23.8 billion B) $25.9 billion C) $27.2 billion D) $29.1 billion,$25.9 billion,dmind_defi,multiple_choice,rule_based
